Text1,Text2,Class
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The Aviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and monitoring.",Conflict
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The Aviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as the Bluebird), and up to 4 remote controllers (apps running on smart phones or computers).",Conflict
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers or tablets).",Conflict
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",Conflict
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The Aviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as the Hummingbird), a power supply, and 4 Viewers (apps running on smart phones or computers). ",Conflict
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","TheAviary is a system of systems consisting of a pilot controller (known as the Bird Lover), a UAV (known as thePheasant), and up to 4 Viewers (apps running on smart phones or computers).",Conflict
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The Aviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 5 Viewers (apps running on smart phones or computers).",Conflict
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 2 Viewers (apps running on smart phones or computers).",Conflict
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 8 Viewers (apps running on smart phones or computers).",Conflict
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.",Duplicate
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","TheAviary is a system of systems consisting of the Bird Feeder pilot controller, the Hummingbird UAV, and up to 4 smartphone or computer viewing apps.",Duplicate
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder). ,Duplicate
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",Duplicate
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The Aviary is a system consisting of four elements: a Bird Feeder (pilot controller), the Hummingbird (UAV), and up to 4 Viewers (apps running on devices). ",Duplicate
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","TheAviary is a system of systems in which the Bird Feeder, a pilot controller, controls a UAV called the Hummingbird and up to four Viewers observe using smart phones or computers.",Duplicate
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The Aviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and at most 4 Viewers (apps running on smart phones or computers).",Duplicate
