,Pair_id,Text1,Text2,Class
0,"(1, 2)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS platform shall provide users with the ability to define intermediate nodes in the tree-view for display of the evidence items of an assurance project.,Neutral
1,"(1, 3)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS platform must provide users with the ability to modify the intermediate nodes in the tree-view for display of the evidence items of an assurance project only once.,Neutral
2,"(1, 4)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS platform shall provide users with the ability to modify the intermediate nodes in the tree-view for display of the evidence items of an assurance project.,Neutral
3,"(1, 5)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS platform shall provide users with the ability to associate evidence types to the intermediate nodes of the tree-view for display of the evidence items of an assurance project.,Neutral
4,"(1, 6)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,"When an evidence characterization model has been selected for an assurance project, the OPENCOSS platform shall propose intermediate nodes for the tree-view for display of the evidence items of the project according to the evidence characterization model.",Neutral
5,"(1, 7)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS platform shall provide users with the ability to include the evidence items of an assurance project in the structure of the tree-view for display of the evidence items of the project.,Neutral
6,"(1, 8)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,"When an evidence characterization model has been selected for an assurance project, the evidence items of the project are associated to evidence types, and the evidence types have been used for definition of intermediate nodes of the tree-view for display of the evidence items of the project, the OPENCOSS platform shall automatically include the evidence items of the project in the tree-view nodes of their associated evidence types.",Neutral
7,"(1, 9)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS platform shall store the characteristics of the evidence items of an assurance project according to the CCL.,Neutral
8,"(1, 10)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS platform shall store the CCL-information of the artefact to which an evidence item of an assurance project is associated.,Neutral
9,"(1, 11)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS platform shall store the time and date of the actions performed to the evidence items of an assurance project.,Neutral
10,"(1, 12)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS platform shall create the evidence repository of an assurance project from its evidence characterization model.,Neutral
11,"(1, 13)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS platform shall store the information of the evidence traceability links of an assurance project according to the CCL.,Neutral
12,"(1, 14)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS platform shall show the evidence items of an assurance project that are the source of evidence traceability links for which a given evidence item is the target.,Neutral
13,"(1, 15)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS platform shall show the evidence items of an assurance project that are the target of evidence traceability links for which a given evidence item is the source.,Neutral
14,"(1, 16)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS platform shall be able to show evidence traceability links between the evidence items of an assurance project by means  of traceability matrices.,Neutral
15,"(1, 17)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS platform shall be able to show the chains of evidence to which an evidence item of an assurance project belongs by means of models.,Neutral
16,"(1, 18)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,"When an evidence item is modified in an assurance project, the OPENCOSS platform shall indicate the evidence traceability links of the assurance project affected by the modification.",Neutral
17,"(1, 19)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS shall be able to import evidence for an assurance project from SAEM models.,Neutral
18,"(1, 20)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,The OPENCOSS platform shall be able to export the evidence of an assurance project in the form of a SAEM models.,Neutral
19,"(1, 21)",The OPENCOSS platform shall show the set of evidence items of an assurance projects by means of a tree-view.,"When the specification of characteristics for an evidence item of an assurance project is not regarded as complete, the OPENCOSS platform shall colour the evidence item in yellow.",Neutral
