,Pair_id,Text1,Text2,Class
0,"(1, 2)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,The THEMAS system shall use the information contained in the initialization data file to determine which heating and cooling units are part of the THEMAS system.,Neutral
1,"(1, 3)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,Each thermostat shall have a unique identifier by which that thermostat is identified in the THEMAS system.,Neutral
2,"(1, 4)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,The maximum number of concurrently running units shall be read from the initialization file and stored in the THEMAS system.,Neutral
3,"(1, 5)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,The maximum number of concurrently running units must be read from the initialization file and replicated in the THEMAS system.,Neutral
4,"(1, 6)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,There shall be a maximum number of heating or cooling units that can be on at any given time.,Neutral
5,"(1, 7)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,Establish_Valid_Temperature_Range shall read the initialization file and establish the valid temperature range from the data in it.,Neutral
6,"(1, 8)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,Set_Overtemp_Values shall read the initialization file and establish the overtemperature value from the data in that file.,Neutral
7,"(1, 9)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,Set_Trigger_Values shall read the initialization file and establish the trigger value from the data in that file.,Neutral
8,"(1, 10)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,This process shall first determine a known state of all the heating and cooling units by issuing a request to turn off all the units,Neutral
9,"(1, 11)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,This process shall first determine a known state of all the heating and cooling units by issuing a request to turn off any unit,Neutral
10,"(1, 12)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,It shall then read the current temperature values and current temperature settings of each thermostat.,Neutral
11,"(1, 13)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If the settings reflect a need for a heating or cooling unit to be turned on, the process shall issue a request to turn on the appropriate unit.",Neutral
12,"(1, 14)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"The themas system shall process two types of temperature data, the temperature setting and current temperature",Neutral
13,"(1, 15)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,The themas system shall only process current temperature,Neutral
14,"(1, 16)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,A current temperature value that is received from an individual thermostat shall be compared to the valid temperature range values.,Neutral
15,"(1, 17)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If the current temperature value is strictly less than the lower value of the valid temperature range or if the received temperature value is strictly greater than the upper value of the valid temperature range, then the THEMAS system shall identify the current temperature value as an invalid temperature and shall output an invalid temperature status. Otherwise, the THEMAS system shall output a valid temperature status.",Neutral
16,"(1, 18)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If the current temperature value is less than the lower value of the valid temperature range or if the received temperature value is strictly greater than the upper value of the valid temperature range, then the THEMAS system shall identify the current temperature value as an invalid temperature and shall output an invalid temperature status. Otherwise, the THEMAS system shall output a valid temperature status.",Neutral
17,"(1, 19)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,A temperature setting value that is received from an individual thermostat shall be compared to the valid temperature range values.,Neutral
18,"(1, 20)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If the temperature setting value is strictly less than the lower value of the valid temperature range or if the temperature setting value is strictly greater than the upper value of the valid temperature range, then the THEMAS system shall identify the temperature setting as an invalid temperature and shall output an invalid temperature status.Otherwise, the THEMAS system shall realize the value for that thermostat’s temperature setting.",Neutral
19,"(1, 21)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,The THEMAS system shall compare the reported temperature value to the temperature setting and detect when the temperature value exceeds the specified limits.,Neutral
20,"(1, 22)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,The THEMAS system must compare the reported temperature values to the temperature setting and detect when the temperature value exceeds the specified limits.,Neutral
21,"(1, 23)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,If T < LO or UO < T then the THEMAS system shall recognize this condition as the temperature limit has been exceeded.,Neutral
22,"(1, 24)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,If T > LO or UO < T then the THEMAS system shall recognize this condition as the temperature limit has been exceeded.,Neutral
23,"(1, 25)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If LO < = T < = UO, then this process shall output the temperature status.",Neutral
24,"(1, 26)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"If LO < = T <  UO, then this process shall output the temperature status.",Neutral
25,"(1, 27)",The system shall read the intialization file and the definitions shall be derived from the initialization data in the file.,"LT < = T < = UT This condition indicates the thermostat’s current temperature setting is satisfied. If this condition is true, then the module shall output a request to turn off both the heating unit and the cooling unit.",Neutral
