,Pair_id,Text1,Text2,Class
0,"(1, 2)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _VehicleCore_ shall assign a unique ID to each activated UAV.,Neutral
1,"(1, 3)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _VehicleCore_ shall assign an ID to each activated UAV.,Neutral
2,"(1, 4)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _VehicleCore_ shall associate a UAV_TYPE for each UAV defining UAV's basic attributes.,Neutral
3,"(1, 5)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","If a command is issued by the _VaadinUI_ for an UAV, the _VaadinUI_ shall request control of that UAV.",Neutral
4,"(1, 6)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When a _GCS_ requests activation of a newly detected UAV, the _GCSMiddleware_ shall forward the request to Dronology.",Neutral
5,"(1, 7)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When a _GCS_ requests activation of a newly detected UAV, the _GCSMiddleware_ shall forward the request to Dronology.",Neutral
6,"(1, 8)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _VehicleCore_ shall support UAVs connected via the _GCS_.,Neutral
7,"(1, 9)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _VehicleCore_ shall support virtual UAVs.,Neutral
8,"(1, 10)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _VehicleCore_ shall support up to three virtual UAVs.,Neutral
9,"(1, 11)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _UAVRegistrationManager_ shall store UAV meta-data information such as the UAV's technical characteristics.,Neutral
10,"(1, 12)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _InternalSimulator_ shall approximate the behavior of a UAV.,Neutral
11,"(1, 13)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When the _GCS_ receives a UAV command from the _GCSMiddleware_, the _GCS_ shall forward the command to the respective UAV.",Neutral
12,"(1, 14)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _GCS_ shall assign a message frequency for all UAVs.,Neutral
13,"(1, 15)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _GCS_ shall report newly connected UAVs to the _GCSMiddleware_.,Neutral
14,"(1, 16)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _GCS_ shall transmit the UAV's current location to the _GCSMiddleware_.,Neutral
15,"(1, 17)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _GCS_ shall transmit the UAV's past location to the _GCSMiddleware_.,Neutral
16,"(1, 18)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _GCS_ shall transmit the UAV's properties to the _GCSMiddleware_.,Neutral
17,"(1, 19)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","If a client registers for notifications, the _UIMiddleware_ shall send notifications for specific events.",Neutral
18,"(1, 20)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","If a client registers for notifications, the _UIMiddleware_ shall send notifications for all events.",Neutral
19,"(1, 21)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _UIMiddleware_ shall provide an interface for registering UI clients.,Neutral
20,"(1, 22)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When requested, the _SingleUAVFlightPlanScheduler_ shall schedule a route for execution.",Neutral
21,"(1, 23)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _UIMiddleware_ shall provide a list of all existing routes.,Neutral
22,"(1, 24)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _UIMiddleware_ shall accept commands from UIs and forwards to Dronology.,Neutral
23,"(1, 25)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _UIMiddleware_ shall accept and activate a mission plan automatically,Neutral
24,"(1, 26)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _UIMiddleware_ shall accept and activate a mission plan upon request.,Neutral
25,"(1, 27)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _RouteCreationUI_ shall distinguish between starting ending and intermediate waypoint markers.,Neutral
26,"(1, 28)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",Each route shall include a unique ID a textual description and a set of waypoints all of which are editable in the UI.,Neutral
27,"(1, 29)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",Each route shall include a ID a description and a set of waypoints all of which are not editable in the UI.,Neutral
28,"(1, 30)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When requested, the _RouteCreationUI_ shall send a newly created or modified route to dronology.",Neutral
29,"(1, 31)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _RouteCreationUI_ shall allow the user to create and modify a route.,Neutral
30,"(1, 32)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _RouteCreationUI_ shall allow a user to delete a route.,Neutral
31,"(1, 33)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When the _RouteCreationUI_ is loaded, a list of all existing routes shall be displayed.",Neutral
32,"(1, 34)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _SingleUAVFlightPlanScheduler_ shall only execute up to three plans at a time for each UAV.,Neutral
33,"(1, 35)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _SingleUAVFlightPlanScheduler_ shall only execute one flight plan at a time for each UAV.,Neutral
34,"(1, 36)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _UAVActivationManager_ shall ensure that only one instance of each registered drone is active at any time.,Neutral
35,"(1, 37)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _UIMiddleware_ shall assign one control-client at a time for each UAV.,Neutral
36,"(1, 38)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _ObjectAvoidance_ system shall only issue commands within the capabilities of the UAV.,Neutral
37,"(1, 39)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _UAVActivationManager_ shall only activate UAVs that are registered.,Neutral
38,"(1, 40)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","If a route contains a specific UAV_ID, the _SingleUAVFlightPlanScheduler_ shall assign the route to the given UAV.",Neutral
39,"(1, 41)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _RouteCreationUI_ shall only accept valid altitude and speed values for waypoint.,Neutral
40,"(1, 42)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","If requested, the _SingleUAVFlightPlanScheduler_ shall unassign the flight plan assigned to a UAV that is awaiting execution.",Neutral
41,"(1, 43)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When a UAV's current flight is cancelled, the _SingleUAVFlightPlanScheduler_ shall in turn cancel all scheduled flight plans for that UAV.",Neutral
42,"(1, 44)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When a UAV has an active onboard Obstacle Avoidance, then the _ObstacleAvoidance_ system shall not issue directives.",Neutral
43,"(1, 45)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When the _GCS_ loses the connection to an UAV, the _GCS_ shall attempt to reconnect.",Neutral
44,"(1, 46)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When the _GCS_ loses the connection to an UAV, the _GCS_ shall land the UAV.",Neutral
45,"(1, 47)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When the ""return to home"" command is issued, the _FlightManager_ shall return the UAV to UAV's original launch location without issuing any additional waypoint or routing commands.",Neutral
46,"(1, 48)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When the ""hover in place"" command is issued, the _FlightManager_ shall halt the UAV in place and maintain UAV's current position.",Neutral
47,"(1, 49)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","If a flight plan is active and the ""hover in place"" command is rescinded, the _FlightManager_ shall notify the UAV to continue to the originally designated waypoint.",Neutral
48,"(1, 50)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When requested, if a mission is currently active, the _MissionPlanner_ shall cancel the active mission.",Neutral
49,"(1, 51)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","If a UAV does not have any pending flight plans, then when the UAV reaches the final waypoint of UAV's current flight plan, the _SingleUAVFlightPlanScheduler_ shall notify the UAV to hover in place.",Neutral
50,"(1, 52)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","If a UAV has exactly one pending flight plan, then when the UAV reaches the final waypoint of UAV's current flight plan, the _SingleUAVFlightPlanScheduler_ shall notify the UAV to hover in place.",Neutral
51,"(1, 53)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","If requested, the _SingleUAVFlightPlanScheduler_ shall abort the currently executing flight plan of an UAV.",Neutral
52,"(1, 54)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When a UAV is deactivated, the _UAVActivationManager_ shall cancel all current and scheduled flight plans.",Neutral
53,"(1, 55)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When the maximum numbers of allowed activated UAVs has been reached, the _UAVActivationManager_ shall reject any further activation requests.",Neutral
54,"(1, 56)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When a route is assigned from a UAV, the _RouteAssignmentUI_ shall notify Dronology.",Neutral
55,"(1, 57)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",A user may reorder routes or remove flight plans assigned to a UAV as long as the flight has not started execution.,Neutral
56,"(1, 58)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When a user shall cancels a pending flight plan, the _RouteAssignmentUI_ shall notify Dronology.",Neutral
57,"(1, 59)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When the connection to the _GCS_ from the _GCSMiddleware_ is lost, the _GCSMiddleware_ shall notify Dronology and deactivate all associated UAVs.",Neutral
58,"(1, 60)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When the _RealTimeFlightUI_ is loaded, a map shall be displayed.",Neutral
59,"(1, 61)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When the _RealTimeFlightUI_ is loaded, a route on the map shall be displayed.",Neutral
60,"(1, 62)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _RealTimeFlightUI_ shall display the location of active UAVs as icons on the map.,Neutral
61,"(1, 63)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When loading the map view, the map view shall be positioned at the pre-defined location.",Neutral
62,"(1, 64)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.","When loading the map view, the map view shall be positioned at the user-defined location.",Neutral
63,"(1, 65)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _RealTimeFlightUI_ shall display the name and status of all currently activated UAVs.,Neutral
64,"(1, 66)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _RealTimeFlightUI_ shall display all currently active flight plans on the map.,Neutral
65,"(1, 67)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _RealTimeFlightUI_ shall allow users to apply flight operations to one or more selected UAVs.,Neutral
66,"(1, 68)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _RealTimeFlightUI_ shall allow users to perform emergency operations to a group of UAVs.,Neutral
67,"(1, 69)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _RealTimeFlightUI_ shall allow users to follow one or multiple UAVs on the map.,Neutral
68,"(1, 70)","When requested, the _VehicleCore_ shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram.",The _RealTimeFlightUI_ shall notify users when an emergency occurs.,Neutral
