,Pair_id,Text1,Text2,Class
0,"(1, 2)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall allow medication orders to be placed and filled from local stocks of medications while providing auditing of most medication orders within the medication profile.,Conflict
1,"(1, 3)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,Neutral
2,"(1, 4)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall allow physician offices to only use social security numbers to identify patients.,Neutral
3,"(1, 5)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall trigger registration reminders when patient meets eligibility requirements for the DOQ-IT program.,Neutral
4,"(1, 6)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall include the ability to print prescriptions for signature and fax prescriptions to a local pharmacy with an electronic signature.,Neutral
5,"(1, 7)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,Neutral
6,"(1, 8)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall require digital signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,Neutral
7,"(1, 9)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system's pilot program shall use a smart card to digitally sign medication orders.,Neutral
8,"(1, 10)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system's pilot program shall require a handwritten signature for medication orders.,Neutral
9,"(1, 11)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,"The system shall require most orders or documents, such as progress notes, reports, or health summaries, to have an electronic signature.",Neutral
10,"(1, 12)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,"The system shall require provider, location, date and time encounter data to be entered for each visit (or telephone call) with a patient.",Neutral
11,"(1, 13)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,"The system shall require service connection, provider name, location, date, diagnosis, procedure, and visit information to be entered in the enounter form to receive workload credit.",Neutral
12,"(1, 14)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,"The system shall require a unique match in the Medication, Dosage, Route, and Schedule fields for inpatient medications before CPRS will auto-select an item from the list. The system shall require the Medication and Schedule fields to be an item from the list for inpatient medications, but the Dosage and Route can be a free-text entry (the route must be in the MEDICATION ROUTES file #51.2).",Neutral
13,"(1, 15)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall only auto-select(highlights in blue and places that entry in the field) a patient name if the user types enough characters to uniquely identify a name in the list.,Neutral
14,"(1, 16)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall display a box listing possible matches if CPRS finds more than one patient with the same last name and same last four digits of the social security numbers.,Neutral
15,"(1, 17)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall display a message indicating the patient’s ability to pay for medical services must be evaluated.,Neutral
16,"(1, 18)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall display a message of possible matches if more than one match is found when a user partially enters a patient's name and last four digits of a social security number.,Neutral
17,"(1, 19)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall allow clinicians to create patient lists for who can sign or cosign for each other.,Neutral
18,"(1, 20)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall only allow clinicians to create patient lists for who can sign or cosign for each other.,Neutral
19,"(1, 21)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall ensure that all team members receive necessary information about a patient by using patient lists to tie notifications to teams.,Neutral
20,"(1, 22)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall ensure that some team members receive all information about a patient by using patient lists to tie notifications to teams.,Neutral
21,"(1, 23)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,"The system shall retain notifications for a predetermined amount of time (up to 30 days), after which they may be sent to another destination, such as your MailMan surrogate or your supervisor.",Neutral
22,"(1, 24)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,"The system shall retain notifications for a predetermined amount of time (more than 30 days), after which they may be sent to another destination, such as your MailMan surrogate or your supervisor.",Neutral
23,"(1, 25)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall store which column the user sorted by when the user exits or changes patients and sorts by that column again when the Patient Selection/Notifications screen is next displayed.,Neutral
24,"(1, 26)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall update diagnostic and procedure codes used for billing purposes so codes are applicable at the time the service was provided.,Neutral
25,"(1, 27)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall only update diagnostic used for billing purposes so codes are applicable at the time the service was provided.,Neutral
26,"(1, 28)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,"The system shall check ICD and CPT code validity as of a specified date when codes are entered, when a new code set is implemented, and whenever CACs or IRM personnel choose to run the option.",Neutral
27,"(1, 29)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,"The system shall only check ICD code validity as of a specified date when codes are entered, when a new code set is implemented, and whenever CACs or IRM personnel choose to run the option.",Neutral
28,"(1, 30)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall require the user to have access to the Clinical Coorindator menu in the List Manager Interface to assign CPRS tab access.,Neutral
29,"(1, 31)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall require the user to have access to the List Manager Interface to assign CPRS tab access.,Neutral
30,"(1, 32)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall require an OEER List to be defined to contain the selected patients in order to grant restricted access to the CPRS GUI.,Neutral
31,"(1, 33)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall sort notifications based on column heading: Info (information alerts are preceded with an “I”).,Neutral
32,"(1, 34)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall sort notifications based on column heading: Patient name (alphabetical or reverse alphabetical).,Neutral
33,"(1, 35)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,"The system shall sort notifications based on column heading: Location (patient location, if known, alphabetical or reverse alphabetical).",Neutral
34,"(1, 36)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,"The system shall sort notifications based on column heading: Urgency (valued HIGH, Moderate, or low as indicated by the CPRS parameter ORB URGENCY. TIU alerts are given a Moderate urgency value. Other alerts without a parameter value are given an urgency of low).",Neutral
35,"(1, 37)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,"The system shall sort notifications based on column heading: Alert Date/Time (date/time the alert was triggered, newest to oldest or oldest to newest).",Neutral
36,"(1, 38)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,"The system shall sort notifications based on column heading: Message (alert message or text, alphabetical or reverse alphabetical).",Neutral
37,"(1, 39)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall sort notifications based on column heading: Forwarded By/When (sorts alerts alphabetically and then by time for the same forwarding person).,Neutral
38,"(1, 40)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall indicate problems with inactive codes have the “#” symbol in the status column.,Neutral
39,"(1, 41)",The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall improve efficiency of entering orders.,Neutral
